GPSwpt,Site,IndivID,refuge_category,Moving,Length,Width,HeightWW,PathToOcean,SurfAngle,DistToOpenH2O,DistToShelter,DistToUnderrock,ShelterType,DistToLittpint,DistToCrustose,CompassSurf,CompassOcean,Pics,ColorRibs,Erosion,ColorInter,RockMove,Substrate,Notes,LimuOnShell,SpotOnTransect,Hypot,Alt,Angle,ShoreType
793,LaPersouseBayBench,109,NA,n,3.38,2.7,1.25,y,59.3,-1.7,NA,-1.3,NA,10.6,-1.2,194,206,125(1),95black,10,tan,n,basalt papa,,5,NA,1.2,0,90,
793,LaPersouseBayBench,110,NA,y,3.28,2.72,1.12,y,59.6,-1,NA,-0.4,NA,11,-0.6,124,209,126(2),100black,0,tan,n,basalt papa,,0,NA,1,0,90,
793,LaPersouseBayBench,111,NA,n,3.17,2.82,1.56,n,99,-2.2,NA,-0.4,NA,10,-1.5,43,210,127(3),87.5black,10,tan,n,basalt papa,barnacle on shell,0,NA,1.1,0,90,
793,LaPersouseBayBench,112,NA,n,3.47,2.8,1.05,y,62.7,-0.7,NA,-0.5,NA,9.7,-0.4,132,204,128-129,100black,5,tan,n,basalt papa,,0,NA,0.7,0,90,
794,LaPersouseBayBench,113,NA,n,3,2.48,0.95,y,60.2,-0.5,NA,-0.1,NA,13.1,-0.1,113,213,130-131,100black,5,tan,n,basalt papa,,0,NA,0.5,0,90,
794,LaPersouseBayBench,114,NA,n,3.48,2.85,1.05,y,48.7,-0.6,NA,-0.4,NA,13.3,-0.4,139,211,132-133,100black,10,tan,n,basalt papa,50% light 50% dark,0,NA,0.6,0,90,
794,LaPersouseBayBench,115,NA,n,3.51,2.94,1.54,y,19,-0.7,NA,-0.7,NA,13.9,-0.5,319,210,134-135,100black,5,tan,n,basalt papa,,0,NA,0.7,0,90,
794,LaPersouseBayBench,116,NA,n,3.04,2.55,1.31,y,49.1,-1.2,NA,-0.4,NA,12.8,-0.4,270,212,136-137,87.5black,5,tan,n,basalt papa,,0,NA,1,0,90,
794,LaPersouseBayBench,117,NA,n,3.89,3.2,1.7,y,15.4,-1.3,NA,0,NA,15.8,-0.3,337,144,138-139,100black,5,tan,n,basalt papa,,0,NA,1,0,90,
794,LaPersouseBayCliff,118,NA,n,3.2,2.72,1.27,y,67.2,-1.4,NA,-0.9,NA,18.8,-0.2,124,212,140-141,100black,5,tan,n,basalt cliff,,0,NA,1.1,0,90,
795,LaPersouseBayCliff,119,NA,n,4.85,3.2,1.22,y,104.5,-0.9,NA,-0.5,NA,1.7,-0.5,296,254,142-143,100black,10,tan,n,basalt cliff,,0,NA,0.9,0,90,
795,LaPersouseBayCliff,120,NA,n,3.72,3.03,1.37,y,95.6,-2.5,NA,-2.2,NA,0.3,-1.2,233,254,144-145,100black,25,tan,n,basalt cliff,,0,NA,2,0,90,
